,Машина,Тип коробки передач,Тип машины,Привод,Цвет,Объем двигателя (л.),Мощность двигателя (л.с.),Тип топлива,Цена (р.),Пробег (км.)
0,Skoda Octavia III (A7),механика,лифтбек,полный,коричневый,1.6,110,Дизель,1080000,177000
1,Volkswagen Jetta VI,автомат,седан,передний,серебристый,1.6,105,Бензин,850000,131000
2,Volkswagen Tiguan II,робот,внедорожник 5 дв.,полный,белый,2.0,150,Дизель,2610000,90000
3,Opel Corsa D Рестайлинг II,робот,хэтчбек 3 дв.,передний,белый,1.2,85,Бензин,440000,167000
4,Skoda Yeti I Рестайлинг,робот,внедорожник 5 дв.,полный,синий,2.0,150,Дизель,1010000,116000
5,Renault Sandero Stepway II Рестайлинг,автомат,хэтчбек 5 дв.,передний,серебристый,1.6,102,Бензин,1820000,1000
6,Audi Q8 45 TDI I,автомат,внедорожник 5 дв.,полный,чёрный,3.0,249,Дизель,10450000,81000
7,LADA (ВАЗ) Niva Off-road I,механика,внедорожник 5 дв.,полный,белый,1.7,80,Бензин,1140000,49000
8,LADA (ВАЗ) 2105,механика,седан,задний,пурпурный,1.3,64,Бензин,160000,103000
9,Volkswagen Passat B5 Рестайлинг,автомат,седан,полный,серебристый,2.5,150,Дизель,380000,216000
10,Vortex Tingo I,механика,внедорожник 5 дв.,передний,серебристый,1.9,132,Бензин,330000,140000
11,Daewoo Matiz I Рестайлинг,автомат,хэтчбек 5 дв.,передний,зелёный,0.8,52,Бензин,170000,101000
12,Volkswagen Golf III,механика,хэтчбек 5 дв.,передний,зелёный,1.9,75,Дизель,180000,372000
13,Subaru Legacy II,автомат,седан,полный,синий,2.0,115,Бензин,210000,220000
14,Toyota Land Cruiser Prado 150 Series Рестайлинг 2,автомат,внедорожник 5 дв.,полный,белый,2.8,177,Дизель,5100000,112000
15,Chevrolet Tahoe IV,автомат,внедорожник 5 дв.,полный,серебристый,6.2,409,Бензин,3360000,87000
16,Daewoo Nexia I Рестайлинг,механика,седан,передний,пурпурный,1.6,109,Бензин,110000,106000
17,BMW 5 серии 530i xDrive VII (G30/G31) Рестайлинг,автомат,седан,полный,чёрный,2.0,249,Бензин,7980000,24000
18,Volvo XC90 II Рестайлинг,автомат,внедорожник 5 дв.,полный,синий,2.0,249,Бензин,7760000,27000
19,Lexus ES 300h VII,вариатор,седан,передний,чёрный,2.5,218,Гибрид,4450000,34000
20,Nissan X-Trail III Рестайлинг,механика,внедорожник 5 дв.,передний,белый,2.0,144,Бензин,2990000,19000
21,"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",автомат,купе,полный,золотистый,2.0,197,Бензин,5440000,17000
22,Toyota Camry US Market VIII (XV70),вариатор,седан,передний,чёрный,2.5,208,Гибрид,3110000,38000
23,"Mercedes-Benz E-Класс 200 d V (W213, S213, C238) Рестайлинг",автомат,седан,задний,чёрный,1.6,160,Дизель,8240000,25000
24,"Mercedes-Benz E-Класс 200 V (W213, S213, C238) Рестайлинг",автомат,седан,задний,серый,2.0,197,Бензин,7380000,18000
25,Mercedes-Benz GLC 300 d I (X253) Рестайлинг,автомат,внедорожник 5 дв.,полный,серый,2.0,245,Дизель,6810000,16000
26,Opel Astra H Рестайлинг,механика,седан,передний,серый,1.7,110,Дизель,530000,149000
27,Skoda Fabia II Рестайлинг,автомат,хэтчбек 5 дв.,передний,синий,1.6,105,Бензин,820000,143000
28,"Toyota Corolla IX (E120, E130)",автомат,седан,полный,серый,1.8,136,Бензин,460000,107000
29,ЗАЗ Chance,автомат,седан,передний,золотистый,1.4,101,Бензин,290000,221000
